FRUITS_VEGGIES,DAILY_STRESS,BMI_RANGE,TODO_COMPLETED,DAILY_STEPS,SLEEP_HOURS,GENDER
2,4,2,3,1,7,Female
4,4,2,5,1,7,Female
2,4,1,6,10,5,Female
5,4,1,5,10,6,Female
1,4,1,7,1,6,Female
0,4,2,2,1,7,Female
4,4,1,5,4,8,Female
3,4,1,2,4,8,Female
4,4,1,3,4,7,Female
1,4,2,5,5,7,Male
5,4,2,7,5,7,Female
4,4,1,3,10,7,Male
3,4,1,7,3,7,Female
3,4,2,6,1,6,Female
2,4,1,3,10,7,Male
2,4,1,5,10,7,Male
4,4,1,5,3,5,Female
2,4,1,6,6,6,Female
4,4,2,8,6,6,Male
1,4,2,2,1,4,Female
2,5,2,0,1,3,Female
3,5,1,3,8,5,Female
3,5,2,7,9,6,Female
1,5,1,0,10,5,Male
4,5,1,6,8,6,Female
1,5,2,4,2,8,Female
5,5,2,10,10,6,Female
1,5,1,1,1,5,Male
3,5,2,7,3,8,Female
2,5,1,3,2,8,Female
2,5,2,0,2,5,Female
2,5,1,7,8,7,Female
3,5,2,10,10,7,Female
1,5,2,3,1,8,Female
2,5,1,2,3,8,Female
1,5,2,7,3,5,Male
1,5,2,8,7,7,Female
5,5,1,8,10,7,Female
1,5,2,2,5,6,Female
2,5,2,8,9,6,Female
2,5,1,3,5,10,Male
5,5,2,3,2,6,Female
1,5,1,4,10,8,Male
1,5,1,0,5,9,Male
4,5,1,2,5,7,Male
1,5,2,2,6,6,Male
0,5,2,8,4,8,Female
4,5,2,0,10,8,Male
3,5,2,5,3,5,Female
0,5,2,8,4,8,Female
4,5,1,0,5,7,Female
3,5,1,5,2,9,Female
3,5,1,5,2,9,Female
1,5,2,7,2,8,Female
3,5,2,2,2,7,Male
5,5,2,6,4,6,Female
1,5,1,3,1,8,Male
1,5,2,3,7,10,Female
4,5,2,3,8,7,Female
2,5,1,0,1,8,Female
4,5,2,3,8,7,Female
1,5,1,3,1,8,Male
2,5,2,7,8,7,Male
1,5,2,4,1,7,Female
1,5,1,1,8,10,Female
1,5,1,1,8,10,Female
1,5,2,4,1,5,Female
1,5,1,7,3,7,Female
1,5,2,6,10,5,Male
2,5,2,7,1,8,Female
4,5,1,6,5,6,Female
4,5,2,8,7,7,Male
1,5,1,3,5,5,Female
0,5,2,2,10,5,Female
4,5,1,7,3,8,Female
2,5,1,9,3,9,Female
2,5,2,5,5,6,Female
2,5,2,7,1,7,Female
1,5,2,0,2,5,Female
0,5,1,0,5,8,Female
2,5,1,7,6,6,Female
3,5,1,2,10,6,Female
1,5,2,0,10,7,Male
2,5,1,2,1,6,Male
1,5,2,2,4,6,Male
3,5,1,2,2,6,Male
5,5,2,7,10,7,Female
1,5,2,1,1,8,Female
2,5,1,2,1,6,Male
5,5,2,6,6,8,Female
1,5,2,5,1,8,Male
3,5,2,9,4,7,Female
2,5,2,4,3,5,Female
1,5,2,3,7,4,Female
1,5,2,1,2,10,Female
1,5,1,8,7,7,Female
5,5,2,9,2,6,Male
2,5,2,4,8,7,Male
0,5,1,2,6,6,Male
2,5,2,5,5,6,Male
4,5,2,10,10,7,Female
1,5,2,7,2,9,Female
3,5,2,8,4,6,Female
3,5,2,10,7,6,Female
1,5,2,5,10,6,Female
5,5,1,5,3,10,Male
3,5,1,3,10,6,Male
2,5,1,9,6,7,Female
0,5,1,3,10,5,Male
1,5,2,6,1,7,Female
5,5,1,9,5,8,Female
2,5,1,5,10,4,Female
3,5,2,3,5,7,Female
2,5,1,4,10,5,Male
5,5,2,9,10,7,Female
4,5,1,7,5,4,Female
5,5,1,6,10,7,Female
4,5,1,7,5,4,Female
5,5,1,5,1,8,Female
5,5,1,5,1,8,Female
2,5,1,1,5,6,Female
1,5,2,2,1,3,Male
3,5,2,8,5,7,Female
2,5,1,1,10,4,Female
4,5,2,3,8,6,Female
2,5,2,6,7,5,Female
1,5,2,5,1,8,Female
1,5,2,1,1,7,Female
1,5,1,7,5,7,Female
1,5,1,3,5,6,Female
3,5,2,5,5,6,Male
2,5,2,3,6,5,Female
3,5,1,0,1,3,Male
2,5,2,9,5,7,Female
2,5,2,3,6,5,Female
1,5,1,5,2,6,Female
5,5,1,1,1,5,Female
3,5,1,8,9,8,Female
5,5,1,4,9,6,Female
0,5,2,1,1,10,Male
1,5,1,9,1,7,Female
2,5,2,4,2,8,Female
2,5,1,1,5,6,Male
5,5,1,2,2,7,Female
1,5,2,9,10,8,Male
3,5,2,1,3,6,Male
1,5,1,2,1,7,Male
1,5,1,1,2,5,Male
2,5,2,0,10,7,Female
1,5,1,5,4,8,Male
5,5,2,8,7,6,Female
5,5,2,8,7,6,Female
3,5,2,1,10,6,Male
2,5,2,0,10,7,Male
3,5,2,7,6,8,Male
4,5,1,5,8,6,Female
3,5,1,1,5,7,Male
1,5,2,2,1,10,Male
2,5,1,3,4,7,Female
1,5,2,7,5,6,Female
1,5,1,1,1,7,Female
5,5,2,1,5,5,Female
5,5,2,5,8,5,Male
3,5,2,10,5,7,Female
1,5,2,5,2,7,Female
5,5,2,7,6,7,Female
1,5,1,10,7,7,Female
2,5,1,0,10,7,Female
1,5,1,5,10,7,Female
5,5,1,3,1,5,Female
4,5,1,1,1,5,Female
4,5,1,2,6,8,Female
1,5,1,2,10,7,Male
0,5,2,7,7,6,Female
1,5,2,2,10,6,Male
2,5,2,8,1,5,Female
3,5,2,7,10,7,Female
4,5,2,8,2,8,Female
3,5,2,3,10,8,Female
1,5,1,0,10,3,Male
3,5,1,4,5,6,Female
4,5,2,6,10,7,Female
2,5,2,9,10,8,Male
3,5,1,2,10,7,Male
2,5,2,1,10,7,Female
2,5,1,4,1,8,Female
2,5,1,1,5,9,Female
5,5,1,10,10,8,Female
2,5,2,5,1,6,Male
3,5,2,2,3,10,Male
3,5,1,8,7,7,Male
5,5,1,8,10,8,Female
1,5,2,3,7,8,Female
1,5,1,1,1,9,Female
2,5,1,5,2,6,Female
5,5,1,5,6,6,Female
5,5,1,8,10,8,Female
2,5,1,6,5,6,Male
5,5,1,9,9,7,Female
3,5,1,2,7,6,Female
1,5,2,9,10,8,Female
5,5,2,1,2,7,Female
5,5,2,8,7,7,Female
2,5,1,6,6,10,Female
0,5,2,1,1,7,Female
2,5,1,6,2,7,Female
1,5,2,6,10,8,Male
2,5,2,5,10,6,Male
5,5,1,2,1,8,Female
5,5,2,7,4,7,Female
2,5,2,6,1,6,Male
2,5,2,2,8,7,Female
0,5,1,0,10,9,Female
2,5,2,6,2,7,Female
5,5,2,10,10,10,Male
5,5,2,10,10,10,Male
0,5,2,0,5,6,Female
4,5,2,1,9,5,Female
5,5,2,7,7,5,Female
1,5,2,5,2,7,Female
0,5,2,6,8,5,Female
2,5,1,4,2,8,Female
2,5,1,7,7,7,Male
2,5,2,2,3,5,Female
2,5,2,4,2,7,Female
1,5,1,0,2,6,Male
1,5,1,0,10,9,Female
1,5,2,0,1,8,Female
5,5,1,8,10,8,Male
3,5,1,0,4,7,Male
2,5,2,3,1,9,Female
3,5,2,2,2,6,Male
1,5,2,1,2,7,Female
0,5,1,5,2,7,Female
5,5,2,8,10,8,Female
0,5,2,10,4,6,Male
1,5,2,0,10,5,Male
4,5,1,7,10,7,Female
1,5,1,8,3,6,Female
5,5,1,7,10,7,Female
4,5,1,10,3,8,Female
4,5,2,10,8,6,Female
3,5,1,4,5,10,Female
5,5,1,4,10,6,Female
5,5,1,10,7,8,Female
0,5,2,2,3,5,Male
4,5,1,2,6,9,Female
5,5,1,8,5,7,Female
2,5,1,0,10,8,Male
3,5,2,3,5,6,Female
1,5,1,7,3,6,Female
1,5,2,4,3,9,Female
4,5,2,4,4,6,Male
1,5,1,0,3,6,Female
5,5,1,8,5,7,Female
5,5,1,9,8,5,Female
2,5,1,8,7,6,Female
1,5,1,1,8,7,Female
2,5,2,10,3,6,Female
2,5,1,3,5,7,Male
2,5,1,3,4,8,Female
0,5,1,1,5,7,Female
2,5,2,4,2,6,Female
3,5,2,8,6,6,Male
1,5,1,1,4,9,Female
1,5,2,4,1,6,Female
1,5,1,2,1,8,Female
0,5,2,9,5,6,Male
5,5,1,10,5,8,Female
5,5,1,3,10,6,Female
2,5,2,0,4,7,Male
3,5,1,8,10,8,Female
2,5,2,7,7,7,Female
1,5,1,0,10,9,Female
4,5,2,6,7,7,Male
2,5,1,8,7,6,Female
2,5,1,0,5,6,Male
2,5,1,0,5,6,Male
2,5,1,0,5,6,Male
1,5,1,1,5,6,Male
0,5,1,9,10,6,Female
4,5,1,2,5,7,Male
1,5,1,4,3,6,Female
4,5,1,0,10,5,Male
3,5,2,10,7,8,Female
3,5,2,5,9,8,Female
5,5,1,7,10,6,Female
1,5,2,0,1,9,Female
2,5,2,1,4,7,Female
5,5,1,3,7,8,Male
1,5,1,1,5,8,Female
1,5,2,8,4,7,Male
1,5,1,6,10,6,Female
1,5,1,7,4,6,Female
3,5,2,5,7,9,Male
1,5,2,1,1,6,Male
0,5,1,1,6,4,Female
3,5,2,8,6,8,Female
1,5,1,1,1,7,Female
5,5,2,7,10,7,Female
5,5,1,5,8,5,Male
5,5,1,7,6,8,Female
2,5,2,0,5,6,Female
1,5,2,6,6,6,Female
1,5,2,1,1,7,Female
3,5,2,2,2,6,Male
3,5,1,0,4,6,Male
3,5,1,6,5,6,Female
3,5,2,4,4,6,Female
3,5,1,6,10,6,Female
5,5,1,8,9,7,Female
3,5,2,10,10,7,Male
2,5,2,5,3,8,Female
5,5,2,0,10,7,Female
2,5,2,4,5,9,Male
5,5,2,9,7,7,Female
2,5,1,0,7,6,Female
2,5,1,5,10,7,Male
5,5,2,5,8,8,Female
0,5,2,0,1,1,Male
1,5,2,9,10,10,Male
3,5,2,0,6,9,Male
2,5,1,0,5,5,Female
2,5,1,3,1,6,Female
0,5,1,2,1,8,Female
3,5,2,10,3,10,Male
4,5,1,9,10,6,Female
5,5,1,0,8,8,Male
5,5,1,0,3,3,Male
2,5,1,3,5,7,Female
1,5,2,1,10,5,Female
5,5,2,8,10,7,Male
2,5,2,2,1,8,Female
0,5,1,5,1,4,Female
1,5,1,0,3,10,Male
2,5,1,3,1,5,Female
1,5,2,3,2,4,Male
1,5,2,0,1,7,Male
3,5,1,2,2,5,Male
5,5,2,4,1,6,Female
2,5,1,9,7,8,Female
2,5,2,7,7,7,Female
3,5,1,4,10,7,Male
4,5,1,3,7,7,Female
5,5,2,10,6,7,Female
0,5,2,10,3,5,Male
5,5,2,10,1,8,Female
3,5,1,0,10,10,Female
4,5,2,9,10,6,Female
5,5,1,1,10,6,Female
1,5,2,8,1,5,Male
1,5,2,4,1,6,Female
1,5,2,7,2,5,Female
3,5,2,8,2,6,Female
3,5,1,8,3,6,Female
5,5,2,7,6,4,Female
4,5,1,4,9,9,Female
5,5,1,3,10,7,Female
2,5,1,5,3,7,Male
3,5,2,7,9,9,Female
4,5,1,7,10,8,Female
4,5,2,3,1,7,Female
2,5,1,5,10,6,Female
2,5,1,10,2,7,Female
0,5,2,6,4,6,Male
1,5,2,8,3,7,Female
3,5,1,6,6,7,Male
2,5,2,4,2,6,Female
2,5,1,7,7,8,Male
4,5,2,5,10,6,Female
3,5,1,0,10,9,Female
1,5,1,5,10,6,Male
5,5,1,10,5,10,Male
2,5,2,2,2,7,Female
3,5,1,5,5,6,Female
1,5,2,0,7,5,Male
1,5,1,0,8,6,Male
2,5,1,6,2,8,Male
5,5,1,3,10,6,Male
2,5,1,6,2,8,Male
1,5,1,7,5,6,Female
2,5,2,1,2,5,Female
4,5,1,7,10,6,Female
2,5,1,2,5,7,Female
2,5,1,2,5,7,Female
2,5,1,4,2,7,Female
1,5,2,5,5,5,Male
2,5,1,0,8,8,Female
2,5,2,5,10,10,Female
3,5,2,3,2,9,Female
1,5,2,2,3,5,Female
5,5,2,5,10,5,Female
1,5,2,8,7,4,Male
2,5,1,2,2,8,Male
1,5,1,9,7,6,Female
1,5,2,2,1,4,Male
1,5,2,2,1,4,Male
3,5,2,3,5,9,Male
4,5,1,7,10,6,Female
1,5,2,8,1,7,Female
1,5,2,9,4,7,Female
0,5,1,7,10,8,Female
4,5,1,7,10,6,Female
4,5,2,7,1,6,Female
1,5,2,1,1,5,Female
2,5,1,0,1,9,Female
3,5,2,2,7,4,Female
5,5,1,0,1,5,Female
5,5,2,10,8,7,Female
3,5,1,8,3,6,Female
1,5,1,0,5,8,Female
3,5,1,4,10,8,Female
2,5,1,5,4,8,Female
1,5,1,3,6,8,Female
5,5,1,6,10,7,Female
4,5,1,8,8,6,Female
3,5,2,10,5,8,Female
4,5,1,8,8,10,Female
5,5,1,5,5,7,Female
0,5,2,4,3,3,Female
3,5,1,6,4,7,Male
5,5,2,10,4,8,Male
5,5,2,10,4,8,Male
2,5,1,1,1,6,Female
2,5,1,3,7,10,Female
5,5,1,3,10,8,Female
1,5,1,3,2,5,Female
3,5,1,2,3,9,Female
3,5,2,8,6,7,Female
3,5,2,7,7,6,Female
1,5,1,3,2,5,Female
2,5,2,5,6,5,Male
2,5,1,8,1,7,Female
2,5,1,3,7,10,Female
1,5,1,6,3,7,Female
1,5,1,2,4,8,Female
2,5,2,5,5,7,Female
3,5,2,6,2,6,Male
1,5,2,10,2,5,Male
1,5,1,6,7,9,Female
2,5,1,7,8,7,Male
3,5,1,5,2,7,Female
2,5,2,7,1,8,Female
5,5,1,9,10,6,Female
2,5,1,9,8,6,Female
2,5,1,8,8,6,Female
2,5,1,3,2,8,Female
3,5,1,8,9,5,Male
2,5,1,5,3,7,Male
2,5,2,3,2,9,Female
5,5,2,7,10,6,Female
2,5,2,4,5,7,Female
3,5,1,5,10,6,Male
4,5,1,5,1,6,Female
3,5,1,8,10,8,Female
5,5,1,10,10,7,Male
2,5,1,3,6,10,Male
4,5,1,4,4,6,Male
2,5,1,4,1,5,Female
4,5,1,6,7,9,Female
4,5,1,6,7,9,Female
1,5,1,0,3,7,Male
4,5,1,2,1,7,Male
3,5,1,6,2,6,Male
2,5,2,2,10,5,Female
2,5,2,8,2,7,Female
2,5,2,5,6,7,Male
1,5,2,8,10,7,Female
5,5,2,4,8,6,Male
2,5,2,9,5,4,Male
2,5,2,10,2,8,Female
1,5,1,7,10,7,Male
2,5,2,10,3,10,Female
5,5,2,8,1,5,Female
3,5,1,5,7,7,Female
3,5,1,0,10,7,Female
3,5,1,3,9,7,Female
0,5,2,5,5,7,Female
4,5,2,10,7,7,Female
3,5,1,8,6,7,Female
2,5,2,3,5,6,Female
5,5,1,4,4,9,Female
1,5,2,2,2,4,Female
3,5,1,10,2,8,Female
3,5,2,6,5,8,Male
5,5,1,0,6,6,Female
1,5,1,9,4,6,Female
1,5,1,7,10,5,Female
2,5,2,7,5,7,Female
1,5,2,2,5,8,Male
5,5,2,6,2,9,Female
2,5,2,4,1,5,Female
2,5,1,2,1,8,Female
2,5,2,0,1,5,Female
1,5,1,5,7,7,Male
2,5,2,4,1,6,Male
5,5,1,3,8,6,Female
2,5,2,4,5,10,Male
2,5,2,4,5,10,Male
3,5,1,5,5,8,Female
4,5,1,5,8,6,Female
3,5,1,10,2,5,Female
2,5,2,3,10,7,Female
1,5,2,5,7,9,Male
3,5,2,10,5,9,Male
0,5,1,8,10,7,Female
3,5,1,3,4,10,Female
1,5,1,7,8,7,Female
5,5,1,1,8,5,Male
2,5,1,5,4,8,Female
2,5,2,4,5,6,Female
2,5,1,3,6,6,Female
2,5,2,10,1,8,Female
1,5,2,3,1,10,Female
1,5,1,0,1,6,Male
3,5,2,10,3,7,Female
1,5,1,2,8,7,Male
0,5,1,4,5,6,Female
1,5,1,5,10,7,Male
2,5,2,8,2,7,Female
2,5,2,8,2,7,Female
3,5,2,10,10,7,Male
5,5,1,9,1,7,Female
0,5,2,4,1,6,Female
2,5,2,2,10,8,Female
3,5,1,10,10,5,Female
3,5,1,9,6,7,Female
3,5,2,8,10,8,Female
5,5,1,9,10,6,Female
1,5,2,1,1,10,Female
1,5,2,2,2,7,Female
3,5,1,3,3,7,Female
5,5,1,7,2,7,Female
4,5,1,8,5,6,Female
3,5,2,10,10,6,Female
0,5,2,0,1,6,Male
2,5,2,6,3,5,Female
3,5,1,8,10,4,Female
2,5,1,5,2,9,Female
0,5,1,1,1,10,Male
0,5,1,0,1,10,Male
1,5,2,2,2,5,Male
0,5,2,0,1,6,Male
5,5,2,9,8,7,Female
3,5,2,3,3,6,Male
1,5,2,2,7,9,Female
5,5,2,10,10,9,Female
0,5,2,4,2,5,Female
1,5,1,3,5,6,Female
1,5,1,8,2,7,Male
1,5,1,2,4,5,Female
3,5,2,3,8,7,Male
3,5,2,4,7,7,Male
3,5,2,4,7,7,Male
1,5,1,0,5,8,Male
1,5,1,7,5,6,Female
1,5,1,5,4,6,Male
5,5,1,5,6,8,Female
3,5,2,8,2,6,Female
1,5,1,2,5,6,Female
5,5,2,5,3,8,Male
1,5,1,3,4,10,Female
0,5,2,10,1,3,Female
3,5,1,10,8,7,Male
4,5,1,2,8,7,Female
3,5,2,10,5,7,Female
2,5,2,8,1,6,Female
4,5,2,5,8,6,Female
5,5,1,10,5,8,Female
2,5,1,10,6,7,Male
3,5,1,10,8,5,Male
3,5,1,8,10,8,Female
3,5,2,7,7,6,Female
0,5,1,3,1,6,Male
3,5,2,6,2,7,Female
2,5,1,6,4,6,Female
1,5,1,2,1,9,Female
2,5,2,4,8,7,Male
5,5,1,8,4,8,Male
3,5,2,3,2,6,Female
4,5,1,8,9,7,Female
5,5,2,8,8,7,Female
2,5,2,6,3,6,Female
2,5,1,8,5,8,Female
2,5,1,5,5,8,Female
1,5,2,1,6,7,Female
1,5,2,3,1,4,Female
2,5,2,4,6,7,Female
4,5,1,5,2,7,Male
1,5,1,8,8,8,Male
3,5,1,7,5,5,Male
2,5,2,2,7,6,Male
5,5,2,1,5,9,Female
1,5,1,10,8,6,Female
2,5,1,9,10,6,Female
4,5,2,0,5,6,Male
5,5,2,5,2,6,Female
5,5,2,5,5,5,Male
2,5,2,10,10,7,Male
1,5,1,1,1,7,Male
3,5,1,4,3,8,Female
2,5,1,8,10,7,Female
1,5,1,8,1,6,Male
3,5,2,5,2,9,Male
5,5,1,0,8,6,Female
2,5,2,3,3,6,Female
2,5,2,5,4,8,Female
4,5,2,3,7,7,Female
4,5,2,4,10,8,Female
3,5,2,7,5,5,Female
0,5,2,5,1,6,Female
2,5,1,8,9,8,Male
2,5,2,4,4,6,Female
3,5,2,6,8,7,Female
0,5,2,4,8,7,Female
1,5,1,6,4,7,Male
2,5,1,3,10,6,Female
2,5,1,6,10,6,Female
2,5,1,4,8,5,Male
2,5,2,7,9,5,Female
2,5,1,8,10,6,Male
4,5,2,7,5,6,Male
3,5,2,4,4,4,Female
3,5,1,2,10,8,Female
1,5,2,2,5,5,Male
4,5,1,5,9,6,Male
5,5,1,10,8,4,Female
3,5,2,9,9,6,Female
3,5,1,2,4,8,Female
1,5,1,5,4,8,Female
3,5,2,0,8,8,Male
1,5,1,2,2,9,Female
3,5,2,5,10,7,Female
2,5,1,5,7,7,Female
3,5,2,0,1,6,Female
5,5,1,2,3,5,Female
1,5,2,5,7,7,Female
0,5,2,4,1,6,Female
2,5,1,3,6,4,Female
2,5,2,5,4,5,Male
1,5,2,2,10,7,Female
0,5,2,8,5,7,Male
0,5,2,8,5,7,Male
2,5,1,3,6,4,Female
2,5,1,3,2,7,Male
4,5,2,4,5,7,Male
3,5,1,8,10,6,Female
1,5,2,2,10,7,Female
5,5,1,7,10,6,Female
0,5,1,0,4,9,Male
3,5,2,3,1,9,Male
5,5,1,7,10,6,Female
2,5,2,5,6,6,Male
4,5,1,6,6,6,Female
2,5,1,7,2,8,Female
0,5,1,3,10,6,Male
3,5,1,4,9,6,Female
4,5,1,8,3,7,Female
5,5,1,10,9,7,Male
1,5,2,3,2,6,Male
4,5,1,8,3,7,Female
3,5,2,6,5,7,Female
2,5,1,8,5,6,Female
1,5,1,3,5,6,Female
1,5,2,3,1,5,Female
0,5,1,4,4,4,Male
4,5,2,9,7,6,Female
2,5,2,6,1,7,Female
3,5,1,10,10,6,Female
4,5,1,3,10,6,Female
5,5,2,3,10,5,Male
2,5,2,1,2,6,Female
2,5,1,5,5,7,Female
5,5,1,3,10,7,Male
2,5,1,3,10,6,Female
2,5,2,4,5,6,Female
3,5,2,5,4,9,Male
0,5,2,6,3,8,Female
5,5,1,3,3,7,Female
4,5,2,7,7,6,Female
1,5,2,4,6,6,Female
2,5,2,6,1,7,Female
5,5,2,8,10,6,Female
4,5,2,5,8,6,Female
5,5,2,6,10,8,Female
4,5,1,10,8,9,Female
5,5,2,4,10,6,Female
3,5,2,7,2,6,Female
3,5,1,10,3,5,Female
3,5,1,7,5,8,Female
1,5,1,8,3,6,Female
1,5,1,5,2,6,Female
5,5,1,5,10,6,Female
4,5,2,5,5,8,Female
5,5,1,9,1,5,Female
2,5,1,2,9,6,Female
3,5,1,8,4,6,Male
2,5,1,2,9,6,Female
2,5,2,8,4,7,Female
0,5,1,8,10,8,Female
4,5,1,9,10,6,Female
3,5,1,2,3,6,Male
3,5,1,7,7,7,Female
0,5,1,0,5,6,Male
4,5,2,4,10,6,Female
0,5,2,8,2,5,Male
5,5,1,10,5,8,Female
4,5,1,6,10,10,Female
3,5,1,4,7,7,Male
5,5,2,4,10,6,Female
5,5,1,4,10,7,Female
2,5,2,7,6,6,Female
5,5,1,0,10,8,Female
3,5,1,3,2,6,Female
4,5,1,6,10,9,Female
2,5,2,2,1,6,Female
5,5,1,5,4,6,Female
2,5,1,10,10,7,Female
4,5,1,9,10,6,Female
5,5,2,4,6,6,Male
2,5,2,5,3,6,Female
4,5,1,7,4,7,Female
1,5,1,8,8,5,Male
4,5,1,7,3,7,Female
5,5,1,9,10,6,Female
3,5,1,3,7,8,Female
5,5,1,4,6,5,Female
0,5,2,1,3,7,Female
4,5,1,10,2,7,Female
2,5,1,2,3,6,Male
5,5,1,10,10,7,Female
5,5,1,2,2,8,Male
3,5,1,7,5,5,Female
1,5,1,8,1,7,Female
1,5,1,5,3,7,Female
3,5,2,3,4,7,Male
1,5,2,0,5,7,Female
5,5,1,4,9,8,Female
5,5,2,8,6,7,Male
5,5,2,8,6,7,Male
5,5,1,7,8,7,Female
2,5,1,7,5,6,Female
1,5,2,6,7,5,Female
2,5,2,3,2,6,Male
2,5,2,2,5,6,Female
0,5,2,3,3,5,Male
1,5,2,3,6,6,Male
1,5,1,7,4,5,Female
1,5,2,4,4,6,Female
0,5,1,1,1,9,Female
5,5,2,10,6,7,Male
3,5,2,0,2,6,Female
1,5,2,8,7,7,Female
2,5,2,5,6,6,Male
2,5,2,7,5,8,Female
3,5,2,3,2,6,Female
3,5,1,8,4,7,Female
1,5,1,4,7,7,Female
5,5,1,8,7,6,Female
1,5,2,1,3,5,Female
4,5,1,8,3,8,Female
4,5,1,7,8,6,Female
2,5,1,5,2,8,Male
1,5,1,4,6,7,Female
1,5,1,8,1,5,Female
4,5,2,6,5,9,Female
3,5,2,2,8,6,Male
1,5,1,4,10,5,Female
3,5,2,2,8,6,Male
2,5,1,5,2,8,Female
5,5,2,8,1,6,Female
3,5,2,10,2,6,Female
4,5,1,4,8,6,Male
5,5,1,7,8,7,Male
0,5,1,8,2,7,Female
0,5,2,10,3,5,Female
5,5,1,4,1,5,Male
3,5,2,7,1,8,Female
3,5,1,4,5,10,Male
4,5,1,7,5,8,Female
4,5,2,3,10,5,Female
1,5,1,10,9,7,Male
1,5,1,2,3,7,Female
3,5,2,4,3,5,Male
3,5,1,3,5,6,Female
1,5,2,4,2,6,Female
1,5,1,3,10,8,Female
2,5,1,5,4,8,Female
4,5,2,6,6,6,Male
5,5,1,5,8,5,Female
3,5,1,5,6,5,Male
1,5,1,2,2,5,Female
5,5,1,2,4,5,Female
4,5,1,5,8,7,Male
2,5,2,0,4,4,Female
0,5,2,1,4,6,Male
2,5,1,4,3,7,Female
2,5,1,5,10,4,Male
2,5,2,1,3,9,Female
0,5,2,10,2,6,Female
0,5,2,10,2,6,Female
2,5,2,4,2,7,Male
5,5,2,10,10,10,Male
5,5,2,10,10,10,Male
5,5,2,10,10,10,Male
5,5,1,8,8,7,Female
2,5,1,7,8,6,Female
2,5,1,8,5,7,Female
0,5,2,8,5,6,Female
1,5,2,2,5,8,Female
4,5,1,3,1,7,Female
2,5,2,5,5,6,Female
5,5,1,6,10,8,Female
5,5,1,4,10,7,Female
1,5,2,1,1,6,Female
2,5,1,9,2,6,Female
1,5,1,0,7,9,Male
0,5,2,0,2,4,Female
0,5,2,0,2,4,Female
2,5,1,10,3,8,Female
1,5,1,7,6,6,Female
0,5,2,3,7,5,Male
1,5,1,8,10,8,Female
0,5,1,1,1,6,Female
4,5,2,2,10,8,Female
5,5,1,4,4,6,Male
4,5,1,4,10,8,Female
2,5,1,3,2,7,Female
2,5,1,2,2,7,Female
1,5,2,5,4,6,Female
1,5,1,3,1,8,Female
1,5,1,2,3,7,Female
1,5,1,5,5,3,Male
5,5,2,9,3,6,Female
5,5,1,5,6,7,Female
1,5,1,1,1,7,Female
2,5,2,2,3,7,Female
3,5,2,4,10,6,Male
2,5,2,1,3,8,Male
3,5,1,5,10,7,Female
5,5,1,8,6,7,Female
5,5,1,5,9,7,Female
3,5,1,5,4,7,Female
5,5,2,5,5,8,Male
2,5,2,8,3,7,Male
4,5,1,3,8,7,Female
2,5,2,1,3,7,Male
3,5,2,8,1,7,Female
2,5,2,10,7,5,Female
5,5,1,1,5,8,Female
1,5,1,7,5,8,Female
0,5,2,10,3,7,Male
5,5,1,3,1,6,Male
2,5,1,4,4,6,Female
3,5,2,5,7,7,Female
1,5,2,2,2,6,Female
2,5,1,5,3,7,Female
1,5,1,4,1,7,Female
5,5,1,8,10,7,Female
1,5,2,5,1,7,Female
4,5,1,8,3,6,Female
1,5,2,2,1,9,Female
2,5,2,1,6,6,Female
1,5,2,2,1,9,Female
4,5,2,3,2,8,Female
1,5,2,2,1,9,Female
4,5,1,1,3,5,Female
4,5,1,0,1,8,Female
1,5,1,6,10,4,Male
2,5,2,0,2,5,Male
1,5,2,2,1,7,Male
2,5,1,5,5,6,Male
3,5,1,3,4,8,Female
0,5,2,3,9,4,Male
3,5,2,0,10,6,Female
4,5,1,1,10,6,Female
4,5,1,10,8,8,Female
5,5,2,8,8,5,Female
5,5,1,7,10,7,Female
5,5,1,6,3,7,Female
1,5,2,5,3,5,Female
2,5,1,7,7,5,Male
0,5,2,5,10,6,Female
3,5,2,7,2,7,Female
1,5,2,4,1,6,Female
1,5,2,3,8,8,Female
3,5,2,5,3,10,Female
3,5,1,4,10,5,Female
2,5,1,4,6,7,Female
1,5,1,3,2,6,Male
1,5,1,3,3,7,Male
4,5,1,5,3,8,Female
4,5,2,7,7,7,Male
5,5,1,6,6,9,Female
3,5,1,7,2,6,Female
5,5,2,5,10,7,Male
2,5,2,4,10,7,Female
3,5,1,5,5,6,Male
0,5,2,3,4,6,Female
1,5,1,9,5,5,Male
1,5,1,8,5,5,Male
2,5,2,6,4,6,Female
2,5,1,0,10,6,Female
2,5,2,0,1,3,Female
0,5,2,4,2,9,Female
2,5,1,8,1,5,Female
1,5,1,0,10,7,Male
1,5,2,1,4,5,Female
3,5,2,6,7,8,Female
3,5,2,3,6,7,Male
1,5,1,10,8,5,Female
0,5,2,1,1,8,Male
4,5,2,2,2,6,Female
5,5,1,9,6,8,Female
3,5,1,9,3,6,Male
3,5,1,4,10,7,Male
1,5,1,3,6,5,Female
0,5,1,4,3,10,Male
1,5,2,3,1,9,Female
0,5,2,0,1,7,Female
3,5,1,2,1,7,Female
1,5,1,10,3,6,Male
5,5,1,6,10,6,Female
5,5,1,6,10,6,Female
1,5,2,4,3,9,Female
2,5,2,8,9,4,Male
5,5,2,8,8,6,Female
5,5,1,7,3,6,Male
